"Item","r","p","sig"
"exclusion_2",0.57,0.00000000000000000000000000000000000000000000867264213155988,"***"
"rwa_5",0.56,0.0000000000000000000000000000000000000000039153831253602,"***"
"exclusion_1",0.51,0.000000000000000000000000000000000893779839284809,"***"
"rwa_4",0.51,0.000000000000000000000000000000000329561359651451,"***"
"suffer_1",0.49,0.00000000000000000000000000000117159569009878,"***"
"harsh_3",0.49,0.000000000000000000000000000000180945590965486,"***"
"harsh_1",0.48,0.00000000000000000000000000000226017026689379,"***"
"hate_3",0.47,0.000000000000000000000000000161567571745959,"***"
"Raceresent_3",0.47,0.000000000000000000000000000158748105175486,"***"
"hate_2_R",0.46,0.0000000000000000000000000036123608130615,"***"
"suffer_2",0.46,0.0000000000000000000000000100323742925185,"***"
"harsh_2_R",0.46,0.00000000000000000000000000703406722198697,"***"
"revenge_2",0.45,0.000000000000000000000000119041409564985,"***"
"degrad_1_R",0.44,0.000000000000000000000000495782066373279,"***"
"degrad_3",0.44,0.000000000000000000000000347468058385978,"***"
"anger_1",0.43,0.00000000000000000000000752974308030645,"***"
"rwa_1",0.43,0.0000000000000000000000026597906864004,"***"
"vprone_3",0.42,0.0000000000000000000000924791399375589,"***"
"Raceresent_2",0.42,0.000000000000000000000077277728062175,"***"
"rates_2",0.41,0.000000000000000000000751264833741871,"***"
"prisonvi_1_R",0.41,0.000000000000000000000621305062970793,"***"
"hate_1",0.4,0.0000000000000000000177970773271589,"***"
"anger_2",0.4,0.0000000000000000000274838879727002,"***"
"Raceresent_4_R",0.38,0.00000000000000000130474247902126,"***"
"Raceresent_1_R",0.36,0.0000000000000000602981162684042,"***"
"revenge_1",0.34,0.0000000000000168106557398218,"***"
"vprone_1",0.33,0.0000000000000938051936416215,"***"
"rates_1",0.32,0.000000000000178002911398064,"***"
"rwa_2",0.31,0.00000000000142054066368301,"***"
"sdo_2",0.3,0.00000000000743240889779404,"***"
"sdo_6",0.3,0.00000000000824600968918003,"***"
"sdo_8_R",0.29,0.000000000076759171689116,"***"
"sdo_1",0.28,0.000000000152178346267032,"***"
"sdo_7_R",0.27,0.000000000980410516712646,"***"
"exclusion_3",0.25,0.00000000898425273337567,"***"
"rwa_3_R",0.24,0.0000000392589986792265,"***"
"sdo_3_R",0.24,0.0000000477356798480684,"***"
"vprone_4",0.24,0.0000000393209844934726,"***"
"revenge_3",0.23,0.000000342322883081961,"***"
"vprone_2",0.23,0.000000269901497779964,"***"
"sdo_5",0.22,0.000000923932765631803,"***"
"sdo_4_R",0.18,0.0000553205889551564,"***"
"venge_3",0.17,0.000128072935848783,"***"
"fear_1_R",0.15,0.000940901619810261,"***"
"fear_2",0.15,0.000574690363951751,"***"
"fear_3",0.15,0.00112808870863422,"**"
"prisonvi_2_R",0.15,0.00102496359461568,"**"
"TV_8",0.15,0.00071599554950456,"***"
"degrad_2",0.14,0.00142974498398478,"**"
"venge_2",0.12,0.00576238615433912,"**"
"TV_6",0.11,0.017125558231058,"*"
"venge_4",0.1,0.0296543096408902,"*"
"venge_1_R",0.07,0.113735400225017,""
"TV_9",0.06,0.158566458731131,""
"TV_4",0.05,0.24728287129439,""
"venge_5_R",0.02,0.582353317261108,""
