"theme","side","psych","r","p","n"
"deterrence","prosocial","hostile_agg",-0.002,0.963,496
"incapacitation","prosocial","hostile_agg",-0.06,0.185,496
"rehabilitation","prosocial","hostile_agg",-0.146,0.001,496
"retribution","prosocial","hostile_agg",-0.01,0.821,496
"revenge","dark","hostile_agg",-0.006,0.898,496
"suffering","dark","hostile_agg",-0.025,0.574,496
"exclusion","dark","hostile_agg",-0.05,0.268,496
"deterrence","prosocial","punitiveness_agg",-0.065,0.151,496
"incapacitation","prosocial","punitiveness_agg",-0.024,0.588,496
"rehabilitation","prosocial","punitiveness_agg",-0.369,0,496
"retribution","prosocial","punitiveness_agg",-0.088,0.049,496
"revenge","dark","punitiveness_agg",0.008,0.853,496
"suffering","dark","punitiveness_agg",-0.025,0.583,496
"exclusion","dark","punitiveness_agg",0.066,0.144,496
"deterrence","prosocial","rwa_comp",-0.065,0.148,496
"incapacitation","prosocial","rwa_comp",-0.158,0,496
"rehabilitation","prosocial","rwa_comp",-0.197,0,496
"retribution","prosocial","rwa_comp",-0.022,0.62,496
"revenge","dark","rwa_comp",-0.071,0.117,496
"suffering","dark","rwa_comp",-0.122,0.006,496
"exclusion","dark","rwa_comp",-0.212,0,496
"deterrence","prosocial","raceresent_comp",0.002,0.965,496
"incapacitation","prosocial","raceresent_comp",0.011,0.811,496
"rehabilitation","prosocial","raceresent_comp",-0.162,0,496
"retribution","prosocial","raceresent_comp",-0.051,0.258,496
"revenge","dark","raceresent_comp",0.001,0.986,496
"suffering","dark","raceresent_comp",-0.009,0.85,496
"exclusion","dark","raceresent_comp",0.039,0.391,496
"deterrence","prosocial","crime_concerns_agg",-0.04,0.376,496
"incapacitation","prosocial","crime_concerns_agg",-0.067,0.138,496
"rehabilitation","prosocial","crime_concerns_agg",-0.068,0.129,496
"retribution","prosocial","crime_concerns_agg",-0.02,0.649,496
"revenge","dark","crime_concerns_agg",-0.068,0.128,496
"suffering","dark","crime_concerns_agg",-0.02,0.657,496
"exclusion","dark","crime_concerns_agg",-0.101,0.025,496
