"Factor","Indicator","Loading","p"
"CrimeConcerns","crime_rates_comp",0.739,0
"CrimeConcerns","fear_comp",0.531,0
"ProcessViolations","dueprocess_comp",0.814,0
"ProcessViolations","uncertain_comp",0.68,0
"Emotions","hatred_comp",0.91,0
"Emotions","anger_comp",0.788,0
"HostileAggression","exclusion_comp",0.809,0
"HostileAggression","degradation_comp",0.83,0
"HostileAggression","suffering_comp",0.831,0
"HostileAggression","prisonvi_comp",0.554,0
"HostileAggression","harsh_comp",0.843,0
"HostileAggression","revenge_comp",0.745,0
"Personality","rwa_comp",0.724,0
"Personality","sdo_comp",0.674,0
"Personality","venge_comp",0.38,0
"Personality","vprone_comp",0.774,0
"Personality","raceresent_comp",0.683,0
"Personality","bloodsports_comp",0.389,0
