"Correlate","Group","n","r","CI_lo","CI_hi","p"
"Hostile Aggr","Liberal",190,0.574,0.47,0.662,0.00000000000000000484963839474769
"Hostile Aggr","Moderate",116,0.474,0.319,0.604,0.000000079284568859995
"Hostile Aggr","Conservative",190,0.56,0.453,0.65,0.0000000000000000479796849138726
"Hostile Aggr","Overall",496,0.586,0.525,0.641,0.0000000000000000000000000000000000000000000000495757140554174
"Crime Concerns","Liberal",190,0.353,0.221,0.471,0.000000608427701545218
"Crime Concerns","Moderate",116,0.312,0.138,0.468,0.000639201214244372
"Crime Concerns","Conservative",190,0.196,0.055,0.329,0.00669633850738368
"Crime Concerns","Overall",496,0.322,0.24,0.398,0.000000000000212419582937958
"Emotions","Liberal",190,0.526,0.415,0.622,0.00000000000000647906815364912
"Emotions","Moderate",116,0.4,0.235,0.543,0.00000852029528903983
"Emotions","Conservative",190,0.543,0.434,0.636,0.000000000000000567420190035645
"Emotions","Overall",496,0.535,0.469,0.595,0.0000000000000000000000000000000000000503705849017675
"Personality","Liberal",190,0.413,0.287,0.524,0.00000000333851780388841
"Personality","Moderate",116,0.339,0.167,0.491,0.000196838423689895
"Personality","Conservative",190,0.389,0.261,0.503,0.0000000298930473270311
"Personality","Overall",496,0.475,0.404,0.54,0.0000000000000000000000000000299527822807
"RWA","Liberal",190,0.459,0.339,0.564,0.0000000000277783612886529
"RWA","Moderate",116,0.432,0.271,0.569,0.00000129807255179063
"RWA","Conservative",190,0.371,0.241,0.487,0.000000142589273557311
"RWA","Overall",496,0.498,0.429,0.561,0.0000000000000000000000000000000192081721921816
"SDO","Liberal",190,0.224,0.085,0.355,0.00186493368683433
"SDO","Moderate",116,0.133,-0.05,0.308,0.153148012933493
"SDO","Conservative",190,0.29,0.154,0.415,0.0000496437637916895
"SDO","Overall",496,0.322,0.24,0.398,0.000000000000210594350940557
"Race. Resent","Liberal",190,0.379,0.25,0.495,0.0000000697042512307722
"Race. Resent","Moderate",116,0.293,0.117,0.452,0.00139057851053908
"Race. Resent","Conservative",190,0.427,0.304,0.537,0.000000000768832084016817
"Race. Resent","Overall",496,0.465,0.393,0.531,0.00000000000000000000000000063666142595795
"Hatred","Liberal",190,0.507,0.393,0.605,0.0000000000000880116823347466
"Hatred","Moderate",116,0.446,0.288,0.581,0.000000507421946859177
"Hatred","Conservative",190,0.53,0.419,0.625,0.00000000000000380794670318871
"Hatred","Overall",496,0.531,0.464,0.591,0.000000000000000000000000000000000000235087823643331
