"Empath_lexicon","Target","n","r","p_raw","p_FDR","Sig_FDR"
"violence","Punitiveness",496,0.097,0.0306001415667783,0.0994504600920296,""
"violence","Hostile Aggression",496,0.065,0.149140330811703,0.387764860110427,""
"violence","Crime Concerns",496,-0.008,0.853847794335217,0.965219245770245,""
"violence","RWA",496,0.038,0.393880424713965,0.512044552128154,""
"violence","Racial Resentment",496,0.077,0.0859076762904566,0.203054507595625,""
"crime","Punitiveness",496,0.099,0.0275801362957461,0.0994504600920296,""
"crime","Hostile Aggression",496,0.097,0.0299607779304456,0.119008139284861,""
"crime","Crime Concerns",496,0.081,0.0726795909837718,0.377933873115613,""
"crime","RWA",496,0.136,0.00232632348007387,0.0604844104819205,""
"crime","Racial Resentment",496,0.15,0.000827349265639802,0.0215110809066349,"*"
"death","Punitiveness",496,0.182,0.0000439495149461332,0.000571343694299732,"***"
"death","Hostile Aggression",496,0.096,0.0320406528843858,0.119008139284861,""
"death","Crime Concerns",496,0.062,0.165740110419334,0.61560612441467,""
"death","RWA",496,0.091,0.0435720714722412,0.163236031256742,""
"death","Racial Resentment",496,0.128,0.00439241290422354,0.028550683877453,"*"
"pain","Punitiveness",496,0.078,0.0810579883842223,0.210750769798978,""
"pain","Hostile Aggression",496,0.114,0.011343929806471,0.0737355437420615,""
"pain","Crime Concerns",496,0.009,0.848913180422839,0.965219245770245,""
"pain","RWA",496,0.014,0.76315708104227,0.793683364283961,""
"pain","Racial Resentment",496,0.073,0.105492347344049,0.228566752578772,""
"suffering","Punitiveness",496,0.134,0.00275028567527446,0.0143014855114272,"*"
"suffering","Hostile Aggression",496,0.094,0.0367178707763351,0.119333080023089,""
"suffering","Crime Concerns",496,0.026,0.563882637441868,0.862408739616974,""
"suffering","RWA",496,0.041,0.358527072421191,0.512044552128154,""
"suffering","Racial Resentment",496,0.084,0.0600593633727544,0.195192930961452,""
"negative_emotion","Punitiveness",496,0.245,0.0000000306663047158496,0.000000797323922612089,"***"
"negative_emotion","Hostile Aggression",496,0.133,0.00290268701096027,0.0377349311424835,"*"
"negative_emotion","Crime Concerns",496,0.033,0.457457801749067,0.849564488962554,""
"negative_emotion","RWA",496,0.034,0.455719269864591,0.538577318930881,""
"negative_emotion","Racial Resentment",496,0.133,0.00298274253411882,0.0258504352956964,"*"
"positive_emotion","Punitiveness",496,0.068,0.131347701556489,0.297768293620475,""
"positive_emotion","Hostile Aggression",496,-0.06,0.183770145650148,0.434365798809441,""
"positive_emotion","Crime Concerns",496,-0.027,0.55508006903869,0.862408739616974,""
"positive_emotion","RWA",496,-0.104,0.0211252046532485,0.163236031256742,""
"positive_emotion","Racial Resentment",496,0.03,0.50538138173356,0.656995796253628,""
"anger","Punitiveness",496,0.029,0.522139257028999,0.714506351723894,""
"anger","Hostile Aggression",496,0.011,0.801034028739517,0.946676579419429,""
"anger","Crime Concerns",496,0.009,0.845211972227852,0.965219245770245,""
"anger","RWA",496,0.082,0.0681865585894271,0.212864910400967,""
"anger","Racial Resentment",496,0.064,0.155060748928006,0.310121497856011,""
"fear","Punitiveness",496,0.081,0.0705803617526706,0.203898822841049,""
"fear","Hostile Aggression",496,0.043,0.337498890520723,0.548435697096176,""
"fear","Crime Concerns",496,0.026,0.560018060729135,0.862408739616974,""
"fear","RWA",496,0.06,0.184297889759245,0.399312094478365,""
"fear","Racial Resentment",496,0.035,0.440974153358539,0.636962665962334,""
"hate","Punitiveness",496,0.013,0.780347748000241,0.943363703847791,""
"hate","Hostile Aggression",496,0.046,0.304975729273382,0.528624597407196,""
"hate","Crime Concerns",496,0.045,0.317760142210993,0.688480308123818,""
"hate","RWA",496,0.052,0.246106135604264,0.429624148814462,""
"hate","Racial Resentment",496,0.027,0.545638793499635,0.675552791951929,""
"disgust","Punitiveness",496,0.012,0.798230826332746,0.943363703847791,""
"disgust","Hostile Aggression",496,0.012,0.794182302772764,0.946676579419429,""
"disgust","Crime Concerns",496,0.05,0.265132577623889,0.688480308123818,""
"disgust","RWA",496,0.061,0.178289968225717,0.399312094478365,""
"disgust","Racial Resentment",496,0.082,0.0679620697534058,0.196334868176506,""
"sympathy","Punitiveness",496,0.006,0.894208157409069,0.968666138959778,""
"sympathy","Hostile Aggression",496,-0.027,0.553319186303696,0.767182501920969,""
"sympathy","Crime Concerns",496,0.005,0.919439472808692,0.996059428876083,""
"sympathy","RWA",496,-0.032,0.483215446522501,0.546243548242827,""
"sympathy","Racial Resentment",496,0.019,0.67517906962488,0.794814071341887,""
"help","Punitiveness",496,-0.047,0.29178049346445,0.47414330187973,""
"help","Hostile Aggression",496,-0.032,0.47123882373707,0.720718201009636,""
"help","Crime Concerns",496,-0.001,0.98854991838013,0.998243441084992,""
"help","RWA",496,0.024,0.595751182461378,0.64539711433316,""
