"Empath_lexicon","Punitiveness","Hostile Aggression","Crime Concerns","RWA","Racial Resentment"
"negative_emotion",0.245,0.133,0.033,0.034,0.133
"death",0.182,0.096,0.062,0.091,0.128
"kill",0.163,0.121,0.066,0.091,0.133
"children",0.157,0.085,0.017,0.036,0.09
"suffering",0.134,0.094,0.026,0.041,0.084
"achievement",-0.109,-0.102,-0.05,-0.1,-0.077
"crime",0.099,0.097,0.081,0.136,0.15
"violence",0.097,0.065,-0.008,0.038,0.077
"fear",0.081,0.043,0.026,0.06,0.035
"pain",0.078,0.114,0.009,0.014,0.073
"positive_emotion",0.068,-0.06,-0.027,-0.104,0.03
"fight",0.067,-0.021,0.04,0.06,0.061
"healing",-0.062,-0.133,0.022,-0.08,-0.097
"trust",0.061,0.004,0.02,0.008,0.03
"prison",0.059,0.057,0,0.044,0.113
"help",-0.047,-0.032,-0.001,0.024,-0.003
"power",-0.035,0.003,0.047,0.04,0.002
"anger",0.029,0.011,0.009,0.082,0.064
"government",0.029,-0.048,-0.088,-0.118,-0.009
"weapon",0.022,-0.005,0.084,0.056,0.045
"hate",0.013,0.046,0.045,0.052,0.027
"disgust",0.012,0.012,0.05,0.061,0.082
"order",0.008,0.026,0.048,0.046,0.017
"sympathy",0.006,-0.027,0.005,-0.032,0.019
"family",0.004,0.055,0.126,0.052,0.043
"law",0.002,-0.005,-0.141,-0.096,0.057
