"TextFeature","PsychMeasure","r","p","N","sig"
"BGE rehab sim","Punitiveness",-0.369,0.000000000000000017888352238351,496,"***"
"Claude pro−dark (ML)","Punitiveness",-0.276,0.000000000380882786774221,496,"***"
"Claude pro−dark (ML)","Hostile Aggression",-0.245,0.0000000325794537719976,496,"***"
"Claude pro−dark (ML)","Suffering",-0.226,0.000000349918449090325,496,"***"
"BGE pro−dark gap","Punitiveness",-0.204,0.00000457964051940766,496,"***"
"voyage pro−dark gap","Punitiveness",-0.201,0.00000655409367438116,496,"***"
"BGE rehab sim","RWA",-0.197,0.00000983397316481711,496,"***"
"VADER compound","Punitiveness",-0.193,0.0000145562960127014,496,"***"
"Claude pro−dark (ML)","Revenge",-0.193,0.0000146219990857278,496,"***"
"Claude pro−dark (ML)","Hatred",-0.18,0.0000539442272622259,496,"***"
"BGE rehab sim","Hatred",-0.178,0.0000693940135257577,496,"***"
"mpnet pro−dark gap","Punitiveness",-0.172,0.000122719001527134,496,"***"
"DeBERTa pro−dark (ML)","Suffering",-0.172,0.000119937609952971,496,"***"
"DeBERTa pro−dark (ML)","Hostile Aggression",-0.167,0.000194843584572997,496,"***"
"DeBERTa pro−dark (ML)","RWA",-0.165,0.000224947280315122,496,"***"
"BGE rehab sim","Racial Resentment",-0.162,0.000284878398540803,496,"***"
"DeBERTa pro−dark (ML)","Punitiveness",-0.161,0.000307708758634508,496,"***"
"DeBERTa pro−dark (ML)","Hatred",-0.161,0.000326675214074265,496,"***"
"BGE rehab sim","Hostile Aggression",-0.146,0.00113472074734892,496,"**"
"Claude pro−dark (ML)","Exclusion",-0.146,0.00113013414616705,496,"**"
"voyage pro−dark gap","Revenge",-0.13,0.00371085557522405,496,"**"
"Dictionary pro−dark","Punitiveness",-0.129,0.00408056394365492,496,"**"
"BGE rehab sim","Revenge",-0.125,0.00530146089645799,496,"**"
"DeBERTa pro−dark (ML)","Revenge",-0.124,0.00586215992509639,496,"**"
"BGE rehab sim","Suffering",-0.122,0.0063189811200593,496,"**"
"BGE suffering sim","RWA",-0.122,0.00647732918499454,496,"**"
"Claude pro−dark (ML)","Racial Resentment",-0.122,0.00664144540710554,496,"**"
"Word count","Crime Concerns",0.115,0.0103200055499622,496,"*"
"DeBERTa pro−dark (ML)","Crime Concerns",-0.114,0.010723669400757,496,"*"
"Word count","Racial Resentment",-0.11,0.0140984495447244,496,"*"
"BGE rehab sim","Exclusion",-0.107,0.0170218896804888,496,"*"
"Dictionary pro−dark","Crime Concerns",-0.105,0.0197739958258243,496,"*"
"Claude pro−dark (ML)","RWA",-0.1,0.0262155361982825,496,"*"
"Dictionary pro−dark","Hostile Aggression",-0.096,0.0327019151032575,496,"*"
"VADER compound","Hatred",-0.091,0.0421330130835611,496,"*"
"mpnet pro−dark gap","Revenge",-0.091,0.0421189263427678,496,"*"
"DeBERTa pro−dark (ML)","Exclusion",-0.091,0.0432188424392562,496,"*"
"VADER compound","RWA",-0.091,0.043182805222521,496,"*"
"Dictionary pro−dark","Suffering",-0.088,0.0510762912691842,496,""
"VADER compound","Racial Resentment",-0.087,0.0540247222529109,496,""
"Dictionary pro−dark","Revenge",-0.086,0.0560235878757555,496,""
"voyage pro−dark gap","Hostile Aggression",-0.085,0.0599087076771808,496,""
"Dictionary pro−dark","Hatred",-0.085,0.0593313928823879,496,""
"BGE pro−dark gap","Revenge",-0.081,0.0712192790965055,496,""
"BGE pro−dark gap","Racial Resentment",-0.081,0.0706512931133868,496,""
"VADER compound","Crime Concerns",-0.079,0.0776614306807273,496,""
"voyage pro−dark gap","Racial Resentment",-0.078,0.0814249739108582,496,""
"Word count","Punitiveness",-0.077,0.0885373911669144,496,""
"DeBERTa pro−dark (ML)","Racial Resentment",-0.075,0.0934350848564889,496,""
"BGE revenge sim","RWA",-0.071,0.116690860862803,496,""
"Dictionary pro−dark","Racial Resentment",-0.07,0.118362788445921,496,""
"BGE rehab sim","Crime Concerns",-0.068,0.128915738369007,496,""
"BGE revenge sim","Crime Concerns",-0.068,0.127897948198654,496,""
"VADER compound","Suffering",-0.061,0.175341393041702,496,""
"mpnet pro−dark gap","Racial Resentment",-0.061,0.174451955534751,496,""
"voyage pro−dark gap","Suffering",-0.058,0.193482440652746,496,""
"VADER compound","Exclusion",-0.058,0.197406909225256,496,""
"mpnet pro−dark gap","Crime Concerns",0.057,0.203129777759983,496,""
"Claude pro−dark (ML)","Crime Concerns",-0.054,0.231688745810951,496,""
"Word count","Revenge",-0.054,0.228111126333845,496,""
"VADER compound","Hostile Aggression",-0.052,0.247596370555174,496,""
"Word count","Hostile Aggression",-0.048,0.289163491451094,496,""
"BGE revenge sim","Exclusion",-0.044,0.327760047862958,496,""
"Dictionary pro−dark","Exclusion",-0.043,0.335388281469981,496,""
"BGE suffering sim","Exclusion",-0.043,0.344661865589276,496,""
"voyage pro−dark gap","RWA",0.04,0.37257644774462,496,""
