"Construct","n","r","CI_lo","CI_hi","p_raw","p_FDR","Sig","Direction"
"harsh_comp",496,0.557,0.493,0.615,0.00000000000000000000000000000000000000000960575282499124,0.000000000000000000000000000000000000000172903550849842,"***","+"
"exclusion_comp",496,0.54,0.475,0.6,0.00000000000000000000000000000000000000597071092106377,0.0000000000000000000000000000000000000537363982895739,"***","+"
"hatred_comp",496,0.531,0.464,0.591,0.000000000000000000000000000000000000235087823643331,0.00000000000000000000000000000000000141052694185999,"***","+"
"suffering_comp",496,0.515,0.448,0.577,0.0000000000000000000000000000000000512752855413887,0.000000000000000000000000000000000230738784936249,"***","+"
"rwa_comp",496,0.498,0.429,0.561,0.0000000000000000000000000000000192081721921816,0.0000000000000000000000000000000691494198918538,"***","+"
"raceresent_comp",496,0.465,0.393,0.531,0.00000000000000000000000000063666142595795,0.00000000000000000000000000190998427787385,"***","+"
"anger_comp",496,0.448,0.375,0.516,0.0000000000000000000000000679233254702578,0.000000000000000000000000174659979780663,"***","+"
"degradation_comp",496,0.444,0.37,0.512,0.000000000000000000000000247838460204538,0.000000000000000000000000557636535460211,"***","+"
"dueprocess_comp",496,0.433,0.358,0.502,0.00000000000000000000000476326281085536,0.00000000000000000000000952652562171072,"***","+"
"revenge_comp",496,0.43,0.356,0.5,0.00000000000000000000000866955252779805,0.0000000000000000000000156051945500365,"***","+"
"vprone_comp",496,0.415,0.339,0.485,0.000000000000000000000458421231553234,0.000000000000000000000750143833450746,"***","+"
"crime_rates_comp",496,0.398,0.321,0.47,0.0000000000000000000287773859273481,0.0000000000000000000431660788910222,"***","+"
"uncertain_comp",496,0.352,0.273,0.427,0.000000000000000613011071793035,0.000000000000000848784560944202,"***","+"
"prisonvi_comp",496,0.349,0.27,0.424,0.00000000000000108877850022984,0.00000000000000139985807172409,"***","+"
"sdo_comp",496,0.322,0.24,0.398,0.000000000000210594350940557,0.000000000000252713221128669,"***","+"
"fear_comp",496,0.179,0.093,0.263,0.0000601715062542682,0.0000676929445360517,"***","+"
"venge_comp",496,0.119,0.031,0.205,0.00800075325537415,0.00847138579980792,"**","+"
"bloodsports_comp",496,0.112,0.024,0.198,0.012383806421004,0.012383806421004,"*","+"
