"Outcome","Target","Moderator","n","b_target","p_target","b_mod","p_mod","b_inter","p_inter","F_omnibus","df_omnibus","R2_total","Test_type","p_inter_FDR","Sig_FDR","Sig_raw"
"punitiveness_agg","Hostile Aggression","Age (continuous)",496,0.483,0.000000000000000000000000000000000000000000000174619788227086,0.034,0.26150760727713,0.024,0.431417784624021,NA,NA,0.345,"single_term_t",0.690268455398434,"",""
"punitiveness_agg","Hostile Aggression","Gender (binary)",493,0.493,0.0000000000000000000000000010934399560461,0.201,0.000693099169396751,-0.02,0.733848449893358,NA,NA,0.362,"single_term_t",0.89811727966891,"",""
"punitiveness_agg","Hostile Aggression","Race (White vs Non-White)",496,0.514,0.00000000000000000000000000000000000427222065922693,0.011,0.860961115444429,-0.096,0.120316756987405,NA,NA,0.346,"single_term_t",0.495149882825501,"",""
"punitiveness_agg","Hostile Aggression","Race (7-level)",496,0.514,0.00000000000000000000000000000000000552447039652654,NA,NA,NA,0.286904446635807,1.23,6,0.36,"omnibus_F",0.527399052299205,"",""
"punitiveness_agg","Hostile Aggression","Education (ordinal)",496,0.481,0.0000000000000000000000000000000000000000000000303222547814575,0.01,0.726200714258749,-0.039,0.178064425832034,NA,NA,0.346,"single_term_t",0.495149882825501,"",""
"punitiveness_agg","Hostile Aggression","Politid (continuous)",496,0.433,0.0000000000000000000000000000000000000588659364953326,0.152,0.00000109088941160497,-0.049,0.0739795918621347,NA,NA,0.379,"single_term_t",0.443877551172808,"",""
"punitiveness_agg","Crime Concerns","Age (continuous)",496,0.269,0.0000000000000343218874212046,-0.009,0.803946806365314,0.163,0.00000253352169435175,NA,NA,0.143,"single_term_t",0.0000608045206644421,"***","***"
"punitiveness_agg","Crime Concerns","Gender (binary)",493,0.283,0.0000000329515650747844,0.087,0.226998452659681,-0.074,0.307649447174537,NA,NA,0.103,"single_term_t",0.527399052299205,"",""
"punitiveness_agg","Crime Concerns","Race (White vs Non-White)",496,0.291,0.0000000000358146231234668,0.038,0.600842585417791,-0.088,0.234460134934858,NA,NA,0.106,"single_term_t",0.527399052299205,"",""
"punitiveness_agg","Crime Concerns","Race (7-level)",496,0.291,0.0000000000244980983572695,NA,NA,NA,0.274137702115105,1.26,6,0.141,"omnibus_F",0.527399052299205,"",""
"punitiveness_agg","Crime Concerns","Education (ordinal)",496,0.259,0.000000000000389187603811925,0.011,0.741982775145891,0.09,0.00794911861494759,NA,NA,0.117,"single_term_t",0.095389423379371,"","**"
"punitiveness_agg","Crime Concerns","Politid (continuous)",496,0.213,0.000000000522135329144599,0.258,0.000000000000057052867535373,-0.045,0.173661180920679,NA,NA,0.203,"single_term_t",0.495149882825501,"",""
"punitiveness_agg","RWA","Age (continuous)",496,0.408,0.00000000000000000000000000000000879002153282078,-0.066,0.039215851673851,0.021,0.524828193507745,NA,NA,0.256,"single_term_t",0.787242290261618,"",""
"punitiveness_agg","RWA","Gender (binary)",493,0.415,0.00000000000000000484926435485521,0.151,0.0180376698804297,-0.029,0.649636707549014,NA,NA,0.253,"single_term_t",0.868789228045583,"",""
"punitiveness_agg","RWA","Race (White vs Non-White)",496,0.397,0.000000000000000000000523196489068183,-0.013,0.852387805559942,0.031,0.651591921034187,NA,NA,0.248,"single_term_t",0.868789228045583,"",""
"punitiveness_agg","RWA","Race (7-level)",496,0.397,0.000000000000000000000295489492947931,NA,NA,NA,0.785852619710296,0.53,6,0.275,"omnibus_F",0.89811727966891,"",""
"punitiveness_agg","RWA","Education (ordinal)",496,0.425,0.000000000000000000000000000000000339662320952388,-0.073,0.0249558011426533,-0.069,0.0336072893937716,NA,NA,0.263,"single_term_t",0.268858315150173,"","*"
"punitiveness_agg","RWA","Politid (continuous)",496,0.35,0.0000000000000000110878210021777,0.094,0.0175255121396556,-0.043,0.185681206059563,NA,NA,0.258,"single_term_t",0.495149882825501,"",""
"punitiveness_agg","Racial Resentment","Age (continuous)",496,0.382,0.000000000000000000000000000390323817756436,-0.078,0.017862257538612,0.035,0.295557830565621,NA,NA,0.227,"single_term_t",0.527399052299205,"",""
"punitiveness_agg","Racial Resentment","Gender (binary)",493,0.382,0.00000000000000454892912600916,0.212,0.0011033479930749,-0.007,0.911737301264462,NA,NA,0.228,"single_term_t",0.911737301264462,"",""
"punitiveness_agg","Racial Resentment","Race (White vs Non-White)",496,0.388,0.0000000000000000000186357452298574,0.144,0.0359908163590854,-0.009,0.894567673557207,NA,NA,0.223,"single_term_t",0.911737301264462,"",""
"punitiveness_agg","Racial Resentment","Race (7-level)",496,0.388,0.0000000000000000000187396881357436,NA,NA,NA,0.871255805676715,0.41,6,0.24,"omnibus_F",0.911737301264462,"",""
"punitiveness_agg","Racial Resentment","Education (ordinal)",496,0.374,0.00000000000000000000000000530635823716949,0.016,0.621927009329701,-0.043,0.181271768302381,NA,NA,0.219,"single_term_t",0.495149882825501,"",""
"punitiveness_agg","Racial Resentment","Politid (continuous)",496,0.309,0.00000000000000665837427846771,0.13,0.000801914831810428,0.01,0.765289148857144,NA,NA,0.234,"single_term_t",0.89811727966891,"",""
