"Outcome","Target","Moderator","Control","n","b_inter","p_inter","F_omnibus","df_omnibus","R2_total","Test_type","p_inter_FDR","Sig_FDR","Sig_raw"
"Sentence_z","Hostile Aggression","Age (continuous)","punitiveness_8item",496,0.032,0.473391099290661,NA,NA,0.115,"single_term_t",0.974431714982025,"",""
"Sentence_z","Hostile Aggression","Gender (binary)","punitiveness_8item",493,0.122,0.1516038587398,NA,NA,0.127,"single_term_t",0.974431714982025,"",""
"Sentence_z","Hostile Aggression","Race (White vs Non-White)","punitiveness_8item",496,-0.045,0.612212359601128,NA,NA,0.115,"single_term_t",0.974431714982025,"",""
"Sentence_z","Hostile Aggression","Race (7-level)","punitiveness_8item",496,NA,0.493644764816513,0.9,6,0.147,"omnibus_F",0.974431714982025,"",""
"Sentence_z","Hostile Aggression","Education (ordinal)","punitiveness_8item",496,-0.021,0.609047797396466,NA,NA,0.12,"single_term_t",0.974431714982025,"",""
"Sentence_z","Hostile Aggression","Politid (continuous)","punitiveness_8item",496,0.03,0.455898034808863,NA,NA,0.114,"single_term_t",0.974431714982025,"",""
"Sentence_z","Crime Concerns","Age (continuous)","punitiveness_8item",496,0.044,0.309318593500286,NA,NA,0.119,"single_term_t",0.974431714982025,"",""
"Sentence_z","Crime Concerns","Gender (binary)","punitiveness_8item",493,0.027,0.756840272931777,NA,NA,0.123,"single_term_t",0.974431714982025,"",""
"Sentence_z","Crime Concerns","Race (White vs Non-White)","punitiveness_8item",496,-0.038,0.675134843862896,NA,NA,0.117,"single_term_t",0.974431714982025,"",""
"Sentence_z","Crime Concerns","Race (7-level)","punitiveness_8item",496,NA,0.823821612680585,0.48,6,0.145,"omnibus_F",0.974431714982025,"",""
"Sentence_z","Crime Concerns","Education (ordinal)","punitiveness_8item",496,0.063,0.125227934707302,NA,NA,0.126,"single_term_t",0.974431714982025,"",""
"Sentence_z","Crime Concerns","Politid (continuous)","punitiveness_8item",496,-0.002,0.961320727319988,NA,NA,0.116,"single_term_t",0.974431714982025,"",""
"Sentence_z","RWA","Age (continuous)","punitiveness_8item",496,0.022,0.612864288526295,NA,NA,0.118,"single_term_t",0.974431714982025,"",""
"Sentence_z","RWA","Gender (binary)","punitiveness_8item",493,0.063,0.462519003664033,NA,NA,0.127,"single_term_t",0.974431714982025,"",""
"Sentence_z","RWA","Race (White vs Non-White)","punitiveness_8item",496,-0.032,0.72574098829004,NA,NA,0.119,"single_term_t",0.974431714982025,"",""
"Sentence_z","RWA","Race (7-level)","punitiveness_8item",496,NA,0.814601653447111,0.49,6,0.146,"omnibus_F",0.974431714982025,"",""
"Sentence_z","RWA","Education (ordinal)","punitiveness_8item",496,-0.056,0.192762409928815,NA,NA,0.125,"single_term_t",0.974431714982025,"",""
"Sentence_z","RWA","Politid (continuous)","punitiveness_8item",496,0.004,0.92254921019549,NA,NA,0.116,"single_term_t",0.974431714982025,"",""
"Sentence_z","Racial Resentment","Age (continuous)","punitiveness_8item",496,0.034,0.42906227581439,NA,NA,0.116,"single_term_t",0.974431714982025,"",""
"Sentence_z","Racial Resentment","Gender (binary)","punitiveness_8item",493,0.012,0.889099070320857,NA,NA,0.122,"single_term_t",0.974431714982025,"",""
"Sentence_z","Racial Resentment","Race (White vs Non-White)","punitiveness_8item",496,-0.039,0.660699367522288,NA,NA,0.115,"single_term_t",0.974431714982025,"",""
"Sentence_z","Racial Resentment","Race (7-level)","punitiveness_8item",496,NA,0.435704615478108,0.98,6,0.148,"omnibus_F",0.974431714982025,"",""
"Sentence_z","Racial Resentment","Education (ordinal)","punitiveness_8item",496,-0.07,0.0899891715173855,NA,NA,0.125,"single_term_t",0.974431714982025,"",""
"Sentence_z","Racial Resentment","Politid (continuous)","punitiveness_8item",496,0.001,0.974431714982025,NA,NA,0.113,"single_term_t",0.974431714982025,"",""
