"Construct","r","p","sig","p_fdr","sig_fdr"
"Harsh Conditions",0.56,0.0000000000000000000000000000000000000014600744293982,"***",0,"***"
"Exclusion",0.54,0.00000000000000000000000000000000000088366521631743,"***",0,"***"
"Hatred",0.53,0.0000000000000000000000000000000000340877344282802,"***",0,"***"
"Suffering",0.52,0.00000000000000000000000000000000692216354808684,"***",0,"***"
"RWA",0.5,0.00000000000000000000000000000255468690155998,"***",0,"***"
"Racial Resentment",0.46,0.0000000000000000000000000757627096889793,"***",0,"***"
"Anger",0.45,0.00000000000000000000000774325910360865,"***",0,"***"
"Degradation",0.44,0.0000000000000000000000275100690826993,"***",0,"***"
"Due Process",0.43,0.000000000000000000000504905857950642,"***",0,"***"
"Revenge",0.43,0.000000000000000000000892963910363173,"***",0,"***"
"Violence Proneness",0.41,0.0000000000000000000449252806922144,"***",0,"***"
"Crime Rates",0.4,0.00000000000000000258996473346146,"***",0,"***"
"Uncertain Evidence",0.35,0.0000000000000404587307383381,"***",0,"***"
"Prison Violence",0.35,0.0000000000000696818240147161,"***",0,"***"
"SDO",0.32,0.0000000000117932836526716,"***",0,"***"
"Fear",0.18,0.00132377313759396,"**",0.0015,"**"
"Vengefulness",0.12,0.0736743558099736,"",0.078,""
"Blood Sports",0.11,0.0801731873170469,"",0.0802,""
