"Construct","Alpha","N_Items"
"Punish More",0.683,2
"Parsimony",0.477,2
"Three Strikes",0.751,2
"Punitiveness (8 items)",0.842,8
"Punitiveness (9 items, w/ sentence)",0.836,9
"Perceived Crime Rates",0.845,2
"Fear of Crime",0.78,3
"Crime Concerns Cluster",0.782,5
"Hatred",0.778,3
"Anger",0.828,2
"Emotions Cluster",0.865,5
"Social Exclusion",0.761,3
"Degradation",0.67,3
"Infliction of Suffering",0.794,2
"Prison Violence Tolerance",0.559,2
"Harsh Prison Conditions",0.818,3
"Revenge",0.665,3
"Hostile Aggression Cluster",0.921,16
"RWA",0.869,5
"SDO",0.923,8
"Vengefulness",0.879,5
"Violence Proneness",0.729,4
"Racial Resentment",0.904,4
"Blood Sports",0.837,4
"Personality Cluster",0.924,30
"Due Process Violations*",0.598,3
"Uncertain Evidence*",0.667,4
"Process Violations Cluster*",0.758,7
