"Finding","Value","Source_phase"
"Pct prosocial (Dictionary)","96.4% (n=421)","Phase 3"
"Pct prosocial (Claude)","95.6% (n=496)","Phase 3"
"Pct prosocial (DeBERTa)","72.0% (n=496)","Phase 3"
"Pct prosocial (BGE)","70.8% (n=496)","Phase 3"
"Pct prosocial (voyage)","87.7% (n=496)","Phase 3"
"Strongest facade cell: BGE rehab sim × Punitiveness","r = -0.369","Phase 4"
"Multiverse: Cultural Default verdicts","4/6","Phase 5"
"Multiverse: Individual Facade verdicts","2/6","Phase 5"
"BGE rehab-sim × Punitiveness","r = -0.369","Phase 6"
"Sentencing ΔR² (text features)","0.134","Phase 8"
"Punitiveness ΔR² (text features)","0.079","Phase 9"
