Method_1,Method_2,N,Raw_Agreement,Kappa
Dictionary,DeBERTa,421,0.7244655581947743,0.032912194542358164
Dictionary,Claude,421,0.9453681710213777,0.12028709003361493
Dictionary,BGE,421,0.7292161520190024,0.06407956318252739
Dictionary,Voyage,421,0.8788598574821853,0.08707853225052087
DeBERTa,Claude,496,0.7479838709677419,0.15920802820721458
DeBERTa,BGE,496,0.6451612903225806,0.13184955347375538
DeBERTa,Voyage,496,0.6733870967741935,0.022980958634274518
Claude,BGE,496,0.7157258064516129,0.08522994820279384
Claude,Voyage,496,0.8689516129032258,0.1622492464400791
BGE,Voyage,496,0.7620967741935484,0.3072461709632366
