PrototypeSet,Pair,Variable,r,p,N
Original,mpnet × bge,deterrence,0.6778669953346252,5.278553070137672e-68,496
Original,mpnet × bge,incapacitation,0.7375980019569397,2.7459286357707225e-86,496
Original,mpnet × bge,rehabilitation,0.7095208764076233,4.096529037052929e-77,496
Original,mpnet × bge,retribution,0.798507571220398,5.852199164490518e-111,496
Original,mpnet × bge,revenge,0.7656619548797607,1.0175208524335043e-96,496
Original,mpnet × bge,suffering,0.7601862549781799,1.4295477023011163e-94,496
Original,mpnet × bge,exclusion,0.7708646655082703,8.16179678625398e-99,496
Original,mpnet × bge,pro_minus_dark,0.77567458152771,8.401174467102651e-101,496
Original,mpnet × voyage,deterrence,0.6771869629136607,8.047459388992278e-68,496
Original,mpnet × voyage,incapacitation,0.7211964187727142,8.606135952173222e-81,496
Original,mpnet × voyage,rehabilitation,0.7044284045298269,1.444694016253835e-75,496
Original,mpnet × voyage,retribution,0.6547934449534807,4.707946740256888e-62,496
Original,mpnet × voyage,revenge,0.6892247391824704,3.877931955124256e-71,496
Original,mpnet × voyage,suffering,0.7516470358830378,2.4638255365267924e-91,496
Original,mpnet × voyage,exclusion,0.7422668766891709,6.280011579510526e-88,496
Original,mpnet × voyage,pro_minus_dark,0.7179526978102297,9.445614648674324e-80,496
Original,bge × voyage,deterrence,0.6089375490903429,1.1716047004699568e-51,496
Original,bge × voyage,incapacitation,0.6842345074253074,9.61985116694879e-70,496
Original,bge × voyage,rehabilitation,0.6239409490850787,7.201803350498272e-55,496
Original,bge × voyage,retribution,0.600492636853595,6.3400369615033465e-50,496
Original,bge × voyage,revenge,0.6438157329446419,2.109841044686983e-59,496
Original,bge × voyage,suffering,0.738780003118132,1.0632296439410505e-86,496
Original,bge × voyage,exclusion,0.7455147808550563,4.3198500337308004e-89,496
Original,bge × voyage,pro_minus_dark,0.712923975774122,3.6267555709379776e-78,496
Formal,mpnet × bge,deterrence,0.7494524121284485,1.592820306578616e-90,496
Formal,mpnet × bge,incapacitation,0.7358335256576538,1.1210487779671145e-85,496
Formal,mpnet × bge,rehabilitation,0.6702821254730225,5.467851236731138e-66,496
Formal,mpnet × bge,retribution,0.7722421288490295,2.226694117983433e-99,496
Formal,mpnet × bge,revenge,0.6981191039085388,1.0752932121564173e-73,496
Formal,mpnet × bge,suffering,0.72861647605896,3.149724132439088e-83,496
Formal,mpnet × bge,exclusion,0.6403989195823669,1.3410533531046621e-58,496
Formal,mpnet × bge,pro_minus_dark,0.5876391530036926,2.204607658489576e-47,496
Formal,mpnet × voyage,deterrence,0.682390558551955,3.1004212913898977e-69,496
Formal,mpnet × voyage,incapacitation,0.5914341050394171,4.026043397910029e-48,496
Formal,mpnet × voyage,rehabilitation,0.6363532405252421,1.1625364052610032e-57,496
Formal,mpnet × voyage,retribution,0.6920628258652455,6.064278354051846e-72,496
Formal,mpnet × voyage,revenge,0.5990960489400952,1.2127943344638524e-49,496
Formal,mpnet × voyage,suffering,0.5746705510001483,6.233387188863882e-45,496
Formal,mpnet × voyage,exclusion,0.5741358246055133,7.824687722253497e-45,496
Formal,mpnet × voyage,pro_minus_dark,0.4279503189918347,1.6592532826594218e-23,496
Formal,bge × voyage,deterrence,0.6264439496550536,2.0163399849306704e-55,496
Formal,bge × voyage,incapacitation,0.6953064858299982,7.083925177904818e-73,496
Formal,bge × voyage,rehabilitation,0.6643845671913324,1.836327611999839e-64,496
Formal,bge × voyage,retribution,0.6330560570608701,6.599585286118815e-57,496
Formal,bge × voyage,revenge,0.5432807211856661,1.981764231293296e-39,496
Formal,bge × voyage,suffering,0.5720696216145895,1.8763543104382974e-44,496
Formal,bge × voyage,exclusion,0.652104514656184,2.1502197493295297e-61,496
Formal,bge × voyage,pro_minus_dark,0.5098247359124821,3.6026793328950072e-34,496
Colloquial,mpnet × bge,deterrence,0.5391133427619934,9.653069832020908e-39,496
Colloquial,mpnet × bge,incapacitation,0.7168097496032715,2.1794353676651717e-79,496
Colloquial,mpnet × bge,rehabilitation,0.717132031917572,1.7223382031496766e-79,496
Colloquial,mpnet × bge,retribution,0.7347939014434814,2.5544798916688134e-85,496
Colloquial,mpnet × bge,revenge,0.724904477596283,5.335393136251896e-82,496
Colloquial,mpnet × bge,suffering,0.7374607920646667,3.064320476245632e-86,496
Colloquial,mpnet × bge,exclusion,0.6765895485877991,1.1645961196828025e-67,496
Colloquial,mpnet × bge,pro_minus_dark,0.5727487206459045,1.4085688778977587e-44,496
Colloquial,mpnet × voyage,deterrence,0.5809779996847696,4.132095323360361e-46,496
Colloquial,mpnet × voyage,incapacitation,0.7967197476490171,4.0663554347860895e-110,496
Colloquial,mpnet × voyage,rehabilitation,0.7610677809611028,6.506454248849638e-95,496
Colloquial,mpnet × voyage,retribution,0.7533530570061415,5.69686912079922e-92,496
Colloquial,mpnet × voyage,revenge,0.7619950615201985,2.8324770825991916e-95,496
Colloquial,mpnet × voyage,suffering,0.763784403808173,5.630116369115325e-96,496
Colloquial,mpnet × voyage,exclusion,0.7737930612117525,5.100809533366039e-100,496
Colloquial,mpnet × voyage,pro_minus_dark,0.6339842805169175,4.0564411071415646e-57,496
Colloquial,bge × voyage,deterrence,0.42723630659293754,1.998844816160095e-23,496
Colloquial,bge × voyage,incapacitation,0.7765604528817749,3.5718658894901794e-101,496
Colloquial,bge × voyage,rehabilitation,0.7217510861031989,5.693995395212568e-81,496
Colloquial,bge × voyage,retribution,0.6577502697369059,8.702093333612772e-63,496
Colloquial,bge × voyage,revenge,0.6334643970900784,5.328683810267934e-57,496
Colloquial,bge × voyage,suffering,0.695481806713828,6.302557605505193e-73,496
Colloquial,bge × voyage,exclusion,0.7482697635775777,4.319556207166784e-90,496
Colloquial,bge × voyage,pro_minus_dark,0.6121735446960904,2.4586178905241695e-52,496
LayFormal,mpnet × bge,deterrence,0.5784981846809387,1.209471533401217e-45,496
LayFormal,mpnet × bge,incapacitation,0.6854997873306274,4.28775261015036e-70,496
