TextFeature,PsychMeasure,r,p,N
BGE pro−dark gap,Punitiveness,-0.2041348736328889,4.579640519407516e-06,496
BGE pro−dark gap,Hostile Aggression,-0.036989141297601044,0.4110825182412249,496
BGE pro−dark gap,Crime Concerns,0.018401666998864932,0.6826679615954964,496
BGE pro−dark gap,Hatred,0.03080225491030241,0.4937034449961809,496
BGE pro−dark gap,Revenge,-0.08107660073615093,0.07121927909650538,496
BGE pro−dark gap,Suffering,-0.03780237022561624,0.4008664089902729,496
BGE pro−dark gap,Exclusion,0.02522181270681194,0.5752145883746924,496
BGE pro−dark gap,RWA,0.033633076590756414,0.45484282377868096,496
BGE pro−dark gap,Racial Resentment,-0.08123944504464635,0.07065129311338667,496
voyage pro−dark gap,Punitiveness,-0.2008414892538133,6.554093674381097e-06,496
voyage pro−dark gap,Hostile Aggression,-0.08454227998491899,0.05990870767718104,496
voyage pro−dark gap,Crime Concerns,0.022257007312255626,0.6209547405310447,496
voyage pro−dark gap,Hatred,-0.03580628244540925,0.4262140278194537,496
voyage pro−dark gap,Revenge,-0.1300666655294476,0.003710855575224092,496
voyage pro−dark gap,Suffering,-0.05848483088669736,0.1934824406527455,496
voyage pro−dark gap,Exclusion,-0.007207470565274106,0.8727904304614167,496
voyage pro−dark gap,RWA,0.04012171949227094,0.3725764477446202,496
voyage pro−dark gap,Racial Resentment,-0.07831693050280492,0.08142497391085823,496
mpnet pro−dark gap,Punitiveness,-0.17160151256715936,0.0001227190015271346,496
mpnet pro−dark gap,Hostile Aggression,-0.0341579518495561,0.4478311258355076,496
mpnet pro−dark gap,Crime Concerns,0.05724281509380438,0.20312977775998153,496
mpnet pro−dark gap,Hatred,0.03681057147606469,0.41334624581348967,496
mpnet pro−dark gap,Revenge,-0.0912946047547871,0.04211892634276772,496
mpnet pro−dark gap,Suffering,-0.026981736195990653,0.5488363124093735,496
mpnet pro−dark gap,Exclusion,0.029939026949154797,0.5058966194350644,496
mpnet pro−dark gap,RWA,0.039822328375992075,0.376157302385937,496
mpnet pro−dark gap,Racial Resentment,-0.06107482164679038,0.17445195553475026,496
Claude pro−dark (ML),Punitiveness,-0.27636043196321,3.808827867741856e-10,496
Claude pro−dark (ML),Hostile Aggression,-0.24499482678229956,3.257945377199634e-08,496
Claude pro−dark (ML),Crime Concerns,-0.053799726845586385,0.231688745810951,496
Claude pro−dark (ML),Hatred,-0.1802720128382302,5.394422726222267e-05,496
Claude pro−dark (ML),Revenge,-0.19326593147265553,1.4621999085727792e-05,496
Claude pro−dark (ML),Suffering,-0.22633953236440027,3.4991844909032805e-07,496
Claude pro−dark (ML),Exclusion,-0.1457825552818886,0.0011301341461670692,496
Claude pro−dark (ML),RWA,-0.09981827069606022,0.02621553619828244,496
Claude pro−dark (ML),Racial Resentment,-0.1217296103333422,0.006641445407105408,496
DeBERTa pro−dark (ML),Punitiveness,-0.1613802825084783,0.0003077087586345057,496
DeBERTa pro−dark (ML),Hostile Aggression,-0.16653541110665251,0.00019484358457299113,496
DeBERTa pro−dark (ML),Crime Concerns,-0.11448113289686941,0.010723669400757111,496
DeBERTa pro−dark (ML),Hatred,-0.16069401369224215,0.00032667521407425475,496
DeBERTa pro−dark (ML),Revenge,-0.12355816556487902,0.005862159925096369,496
DeBERTa pro−dark (ML),Suffering,-0.17184903789968348,0.0001199376099529717,496
DeBERTa pro−dark (ML),Exclusion,-0.09081351544166799,0.04321884243925651,496
DeBERTa pro−dark (ML),RWA,-0.16493098948447404,0.0002249472803151195,496
DeBERTa pro−dark (ML),Racial Resentment,-0.07540717954227791,0.09343508485648835,496
Dictionary pro−dark,Punitiveness,-0.1287384036405853,0.004080563943654926,496
Dictionary pro−dark,Hostile Aggression,-0.09591764876611483,0.032701915103257456,496
Dictionary pro−dark,Crime Concerns,-0.10462406027202781,0.019773995825824217,496
Dictionary pro−dark,Hatred,-0.08473322600807084,0.05933139288238709,496
Dictionary pro−dark,Revenge,-0.0858579319600957,0.05602358787575534,496
Dictionary pro−dark,Suffering,-0.08764772955517248,0.05107629126918395,496
Dictionary pro−dark,Exclusion,-0.043343256130357444,0.3353882814699812,496
Dictionary pro−dark,RWA,0.0054130394515616775,0.9042844574025658,496
Dictionary pro−dark,Racial Resentment,-0.07021220898453925,0.11836278844592145,496
VADER compound,Punitiveness,-0.19330927178818222,1.4556296012700946e-05,496
VADER compound,Hostile Aggression,-0.052011326309036876,0.2475963705551734,496
VADER compound,Crime Concerns,-0.07930003972377918,0.07766143068072742,496
VADER compound,Hatred,-0.09128837677346467,0.042133013083560704,496
VADER compound,Revenge,-0.021885245514660572,0.6267998300055994,496
VADER compound,Suffering,-0.06094922768371351,0.17534139304170157,496
VADER compound,Exclusion,-0.05797425624901624,0.19740690922525703,496
VADER compound,RWA,-0.09082911325239235,0.04318280522252088,496
VADER compound,Racial Resentment,-0.0865645789820727,0.05402472225291059,496
Word count,Punitiveness,-0.07655521512657604,0.0885373911669143,496
Word count,Hostile Aggression,-0.04768677864805286,0.28916349145109477,496
Word count,Crime Concerns,0.11507576021860799,0.010320005549962177,496
Word count,Hatred,-0.009823542144766193,0.8272468463678715,496
Word count,Revenge,-0.054213801052528154,0.22811112633384434,496
Word count,Suffering,-0.022840795927677633,0.6118240846901148,496
Word count,Exclusion,-0.015339934119644155,0.733258195007165,496
Word count,RWA,-0.015787053701985587,0.7257915661336661,496
Word count,Racial Resentment,-0.1101636038085592,0.014098449544724325,496
BGE rehab sim,Punitiveness,-0.36930994859768285,1.788835223835022e-17,496
BGE rehab sim,Hostile Aggression,-0.14573160830651358,0.0011347207473489055,496
BGE rehab sim,Crime Concerns,-0.06827047910740106,0.12891573836900622,496
BGE rehab sim,Hatred,-0.17765864183263225,6.939401352575568e-05,496
BGE rehab sim,Revenge,-0.12501431806199098,0.005301460896457998,496
BGE rehab sim,Suffering,-0.12246159838419132,0.006318981120059338,496
BGE rehab sim,Exclusion,-0.10710695978528538,0.017021889680489063,496
BGE rehab sim,RWA,-0.197047166433288,9.833973164817018e-06,496
BGE rehab sim,Racial Resentment,-0.1622607852280175,0.0002848783985408006,496
BGE suffering sim,Punitiveness,-0.024719929821117308,0.5828449748474599,496
BGE suffering sim,Hostile Aggression,-0.025294300130993035,0.5741164267748051,496
BGE suffering sim,Crime Concerns,-0.01998166697362317,0.6570900338365339,496
BGE suffering sim,Hatred,-0.026376500916453636,0.5578403072687429,496
BGE suffering sim,Revenge,0.011518165860318931,0.7980411855449013,496
BGE suffering sim,Suffering,-0.01405334928354041,0.7548819328694989,496
BGE suffering sim,Exclusion,-0.04251957886129205,0.34466186558927836,496
BGE suffering sim,RWA,-0.12209806752741426,0.006477329184994632,496
BGE suffering sim,Racial Resentment,-0.008512101266393743,0.8500155297014571,496
BGE revenge sim,Punitiveness,0.008353649845910135,0.8527753569663467,496
BGE revenge sim,Hostile Aggression,-0.0057454628396103775,0.8984372473851453,496
BGE revenge sim,Crime Concerns,-0.06845224842652291,0.1278979481986547,496
BGE revenge sim,Hatred,-0.013603357758191357,0.7624914110297273,496
BGE revenge sim,Revenge,0.031212894706186232,0.4879586494357369,496
BGE revenge sim,Suffering,0.023006853230687983,0.6092377539794323,496
BGE revenge sim,Exclusion,-0.04403181879489328,0.3277600478629576,496
BGE revenge sim,RWA,-0.0705321181294716,0.11669086086280336,496
BGE revenge sim,Racial Resentment,0.0007637288394423663,0.9864636314455827,496
