"Model","Prototype","n","r_punitive","p_punitive","r_hostile","p_hostile"
"bge","orig",496,-0.369,0.000000000000000017888352238351,-0.146,0.00113472074734892
"bge","formal",496,-0.412,0.00000000000000000000107532128977141,-0.191,0.000017665513598872
"bge","colloquial",496,-0.363,0.0000000000000000716658988777234,-0.154,0.000589110450576948
"bge","layformal",496,-0.379,0.00000000000000000232466780240299,-0.153,0.000654902878012262
"bge","antitaut",496,-0.499,0.0000000000000000000000000000000116230281365029,-0.221,0.000000633702697487782
"voyage","orig",496,-0.203,0.00000543307515913426,-0.078,0.0818479012363531
"voyage","formal",496,-0.223,0.000000521838291436293,-0.115,0.0105844424666626
"voyage","colloquial",496,-0.169,0.000155643270473417,-0.078,0.0827478603567665
"voyage","layformal",496,-0.206,0.00000380929796189746,-0.107,0.0174277107598229
"voyage","antitaut",496,-0.348,0.00000000000000145384781278312,-0.157,0.00043134924937562
"mpnet","orig",496,-0.254,0.00000000984313282469588,-0.096,0.0318759584820582
"mpnet","formal",496,-0.234,0.000000131262728933003,-0.098,0.0291665031744119
"mpnet","colloquial",496,-0.163,0.000272801644107328,-0.086,0.0554238351404097
"mpnet","layformal",496,-0.192,0.0000167868470630681,-0.092,0.0406047140085056
"mpnet","antitaut",496,-0.311,0.00000000000149674931398802,-0.131,0.00357231519846868
