"Progress","Duration..in.seconds.","Finished","ResponseId","Q_RecaptchaScore","Prolific_ID","punishmore_1","punishmore_2","parsimony_1","parsimony_2","threestrikes_1","threestrikes_2","LWOP","deathpenalty","AttnCheck1","rates_1","rates_2","fear_1","fear_2","fear_3","AttnCheck2","dueprocess_1","dueprocess_2","dueprocess_3","uncertain_1","uncertain_2","uncertain_3","uncertain_4","hate_1","hate_2","hate_3","anger_1","anger_2","exclusion_1","exclusion_2","exclusion_3","degrad_1","degrad_2","degrad_3","suffer_1","suffer_2","prisonvi_1","prisonvi_2","harsh_1","harsh_2","harsh_3","revenge_1","revenge_2","revenge_3","rwa_1","rwa_2","rwa_3","rwa_4","rwa_5","sdo_1","sdo_2","sdo_3","sdo_4","sdo_5","sdo_6","sdo_7","sdo_8","venge_1","venge_2","venge_3","venge_4","venge_5","vprone_1","vprone_2","vprone_3","vprone_4","Raceresent_1","Raceresent_2","Raceresent_3","Raceresent_4","TV_1","TV_2","TV_3","TV_4","TV_5","TV_6","TV_7","TV_8","TV_9","Sentence_1","Sentence_OpenEnd1","Sentence_OpenEnd2","age_1","gender","race","education","politid","feedback","vignette","response_order","X","X.1","X.2","punishmore_1_R","parsimony_1_R","parsimony_2_R","hate_2_R","degrad_1_R","prisonvi_1_R","prisonvi_2_R","harsh_2_R","fear_1_R","rwa_3_R","sdo_3_R","sdo_4_R","sdo_7_R","sdo_8_R","venge_1_R","venge_5_R","Raceresent_1_R","Raceresent_4_R","dueprocess_2_R","Sentence_z","punishmore_comp","parsimony_comp","threestrikes_comp","punitiveness_8item","punitiveness_8item_z","punitiveness_agg","crime_rates_comp","fear_comp","crime_concerns_agg","hatred_comp","anger_comp","emotions_agg","exclusion_comp","degradation_comp","suffering_comp","prisonvi_comp","harsh_comp","revenge_comp","hostile_agg","rwa_comp","sdo_comp","venge_comp","vprone_comp","raceresent_comp","bloodsports_comp","personality_agg","dueprocess_comp","uncertain_comp","process_agg","political_group"
100,522,1,"R_59oJsB5QgHY033K",1,"67e9e4a4cddd6331b90f280c",6,6,6,6,5,4,5,5,9,7,6,6,6,5,4,6,5,5,5,6,6,6,5,6,6,4,5,7,5,5,6,5,5,6,5,4,3,6,6,1,5,6,1,6,7,5,6,4,6,5,6,6,5,5,6,6,5,4,4,5,3,5,4,3,5,5,5,5,4,6,5,6,7,6,6,6,6,7,30,"This was a violent robbery that escalated into a fatal attack","accountability and rehabilitation ",47,2,1,5,6,"the study was good",1,514,NA,NA,NA,2,2,2,2,2,4,5,2,2,3,2,2,2,2,3,5,3,4,3,-0.350415439514018,4,2,4.5,3.875,-0.134287998580412,-0.242351719047215,6.5,4.33333333333333,5.2,4.33333333333333,4.5,4.4,5.66666666666667,4,5.5,4.5,3,4,4.375,5.2,3.625,4.2,4.25,4.25,6.5,4.53333333333333,4.66666666666667,5.75,5.28571428571429,"Conservative"
100,406,1,"R_5HNwntvu43Uc9qk",1,"67a671202f8d2d468aaddec7",7,1,5,6,1,1,2,5,9,4,2,6,2,3,4,2,6,1,1,3,4,1,4,4,4,3,5,2,2,3,7,6,2,1,1,5,5,2,6,1,2,2,5,2,1,6,2,2,4,2,5,6,3,2,6,7,4,2,5,4,4,5,1,2,5,6,3,3,4,5,3,5,5,4,4,5,3,5,3,"he deserves jailtime","rehabilitate and remind",34,1,1,3,4,"",1,513,NA,NA,NA,1,3,2,4,1,3,3,2,2,2,3,2,2,1,4,4,2,4,2,-2.49546865629619,1,2.5,1,2,-1.62104798286354,-2.05825831957987,3,2.33333333333333,2.6,4,4,4,2.33333333333333,3,1,3,1.66666666666667,3,2.375,1.8,2.375,3.8,3.25,3,4.25,2.96666666666667,1.66666666666667,2.25,2,"Moderate"
100,706,1,"R_3M2SAikyTMiTcKl",1,"5e29cc3230cf9d03580c34bf",3,3,1,5,5,3,4,5,9,5,6,6,2,1,4,1,7,3,5,2,3,1,4,3,4,4,6,5,6,2,5,2,1,5,6,3,5,3,5,5,4,6,3,3,1,7,3,4,1,1,7,7,1,1,7,7,6,2,3,2,5,3,1,1,1,7,1,1,7,6,3,5,4,2,5,5,1,4,50,"Darryl killed a completely innocent woman, and a stranger, for no reason at all, and in my opinion has forfeit any right to freedom or a normal life because of this.","Removal of a dangerous and deranged person from society where he cannot harm anyone else.",36,1,1,4,2,"everything was fairly simple and straightforward, and there were no technical issues at all",1,512,NA,NA,NA,5,7,3,5,3,5,3,3,2,1,1,1,1,1,2,3,1,1,1,1.23851286921351,4,5,4,4.375,0.262181330561757,0.750347099887636,5.5,1.66666666666667,3.2,4.33333333333333,5,4.6,4.33333333333333,2,5.5,4,3.66666666666667,4.33333333333333,3.875,2.4,1,2.4,1.5,1,3.5,1.86666666666667,1.66666666666667,2.75,2.28571428571429,"Liberal"
100,654,1,"R_1pMQAjFlR2j4mAV",1,"6679dc943f855ba978447c25",1,4,1,2,6,3,6,7,9,6,6,6,4,2,4,7,5,4,2,5,6,1,6,1,5,7,6,4,6,5,3,6,6,4,6,2,5,6,4,6,4,5,4,1,4,5,1,5,4,5,4,5,7,6,4,4,7,2,4,2,4,1,4,5,1,3,7,7,2,6,4,2,1,1,1,4,1,1,50,"Darryl was an obvious criminal. Perhaps he only meant to beat up Frankie and not kill him, but Frankie is dead nonetheless. Darryl does not seem to have any redeeming human qualities. He should spend the rest of his life in prison so he cannot hurt anyone else in society.","I hope this sentence will keep Darryl away from civilized society and stop him from committing further crimes. It should also be a punishment for Darryl for killing Frankie.",72,2,1,3,5,"This was an interesting study. Although Darryl did not mean to commit murder, he did, and should be imprisoned for life. Society does not need people like Darryl preying on them.",3,511,NA,NA,NA,7,7,6,7,5,6,3,4,2,3,4,3,4,4,1,4,5,6,3,1.38354390895301,5.5,6.5,4.5,5.75,1.35247198570272,1.36800794732786,6,2.66666666666667,4,6,6.5,6.2,5,5.66666666666667,5,4.5,5.33333333333333,4.33333333333333,5,2.8,4.625,2.6,2.75,6.25,1,3.46666666666667,4.66666666666667,3.5,4,"Conservative"
100,514,1,"R_5y3hEPQsV16oibe",1,"663e3cebf22215cffd238d3e",3,2,2,4,4,3,6,3,9,4,5,5,3,3,4,4,7,3,4,5,4,1,3,3,4,4,3,6,6,5,4,6,4,3,5,4,4,4,5,4,3,4,4,3,1,7,3,4,3,2,7,7,4,3,6,5,3,4,5,4,3,5,1,3,2,6,2,2,5,7,5,4,3,7,2,5,1,1,35,"Darryl had a history of violence and should suffer in prison for his wrongdoings in society. Darryl purposeful killed his girlfriend, and should be punished harshly for that crime. ","I hope this sentence will make Darryl suffer with his thoughts about what he did. I hope he has to stay in prison for the remainder of his life due to severe crime he committed. ",30,2,1,4,2,"",2,510,NA,NA,169,5,6,4,5,4,4,4,3,3,1,1,1,2,3,5,5,2,3,1,-0.195281713746328,3.5,5,3.5,4.125,0.0639466659906727,-0.0656675238778275,4.5,3,3.6,4,3.5,3.8,5.66666666666667,4.66666666666667,4,4,3.66666666666667,3.66666666666667,4.3125,2.4,2.375,4.6,2.75,2.25,1.75,2.7,2.66666666666667,3.5,3.14285714285714,"Liberal"
100,428,1,"R_3hgcoO6ygDZB6I9",1,"546e3261fdf99b2bc7ebcfea",2,5,2,7,7,5,7,7,9,7,7,5,4,5,4,5,5,7,5,7,7,3,7,1,7,7,7,7,7,6,3,6,7,7,7,1,3,7,3,7,5,7,6,6,5,7,6,6,7,7,3,3,7,7,1,3,7,1,1,1,7,5,5,7,5,3,5,5,3,7,2,3,5,2,5,5,3,2,50,"I think if you murder someone in the act of committing a crime, you should never get out of prison.","He won't have the chance to hurt anyone else.",47,2,1,3,4,"",1,509,NA,NA,176,6,6,1,7,5,7,5,5,3,1,5,5,7,5,1,1,5,5,3,1.23851286921351,5.5,3.5,6,5.5,1.15423732113164,1.19637509517258,7,4,5.2,7,7,7,6.66666666666667,6,7,6,6.33333333333333,6,6.3125,4.8,6.25,1,5.5,5,3.75,4.53333333333333,5,5.5,5.28571428571429,"Moderate"
100,510,1,"R_3F4l2mwushPqRD0",1,"62fbdda6e4b5a034b71296f8",1,5,1,1,7,5,7,6,9,5,5,5,4,1,4,7,5,2,2,6,5,1,7,1,7,7,7,7,7,7,4,7,4,6,6,4,7,5,4,4,6,7,7,6,4,4,7,7,7,7,1,1,7,7,1,1,2,6,6,6,2,7,4,6,7,1,7,7,1,7,4,4,7,3,7,6,6,4,50,"Darryl killed a woman he was trying to rob and she died so violently that the only acceptable punishment here would be the maximum. There were several aggravating circumstances like the robbery itself, the assault preceding the murder, and her actual horrific fall.","To keep Darryl off the street so he can't hurt anyone else and to send a message that this conduct is unacceptable.",32,1,1,2,7,"It was a reasonable length, no real complaints, decent layout, not too bubbly.",1,508,NA,NA,154,7,7,7,7,4,4,1,4,3,4,7,7,7,7,6,6,7,7,3,1.23851286921351,6,7,6,6.375,1.84805864713043,1.54328575817197,5,2.66666666666667,3.6,7,7,7,7,5,6,2.5,4.33333333333333,6.66666666666667,5.375,5.6,7,6,6,7,6,6.33333333333333,4,3.5,3.71428571428571,"Conservative"
100,857,1,"R_6dH0QUorvQn9WRy",1,"5c670a430d80fd00014264f9",2,4,2,7,2,3,7,5,9,3,4,3,3,2,4,4,7,2,4,1,4,2,5,3,4,4,4,6,5,4,6,4,3,5,4,4,5,6,4,3,6,5,5,5,2,7,4,4,1,1,7,7,1,1,7,7,3,2,2,2,6,6,1,4,4,5,4,4,4,6,4,6,4,3,3,4,1,2,50,"It would serve as a punishment for the crime","To discourage all behavior like this",40,1,3,4,4,"",3,507,NA,NA,NA,6,6,1,5,2,4,3,4,5,1,1,1,1,1,5,2,3,4,1,1.38354390895301,5,3.5,2.5,4.25,0.163063998276215,0.773303953614611,3.5,3.33333333333333,3.4,4.66666666666667,4,4.4,5,3,4.5,3.5,4.33333333333333,5.33333333333333,4.3125,3.2,1,2.6,3.75,3.75,2.5,2.56666666666667,2.33333333333333,2.75,2.57142857142857,"Moderate"
100,847,1,"R_5ixJE7XHIM0V4Wl",1,"6630e55b3b999569b5a36635",3,7,1,4,7,7,7,7,9,7,7,1,6,6,4,5,3,7,4,6,6,5,7,1,7,7,7,7,7,4,1,4,7,6,7,1,7,7,1,7,4,4,4,6,7,3,6,6,6,7,3,3,7,7,3,3,4,4,5,4,3,6,5,5,4,1,7,7,1,7,4,4,4,1,4,6,1,4,50,"I gave Darryl the max and recommend it; his plan to steal turned into a kill, and though the kill was not the plan; his plan was maliciously criminal and deserves the maximum sentence in prison.","I hope he will rot and never be free again.   shame on him",45,1,4,6,7,"I really enjoyed this study.  i feel crime is a big problem in The U.S. and it is getting worse.  Crime like the story I just read in this study cannot be tolerated.  Thank you for letting me participate.",1,506,NA,NA,NA,5,7,4,7,7,7,1,7,7,5,5,5,5,5,4,5,7,7,5,1.23851286921351,6,5.5,7,6.375,1.84805864713043,1.54328575817197,7,6.33333333333333,6.6,7,7,7,6,6,6.5,4,7,4,5.625,6,5.875,4.4,5,7,3.25,5.33333333333333,5.66666666666667,5.25,5.42857142857143,"Conservative"
100,885,1,"R_7VlNi53OM69ROIE",1,"68114b50b766b8f5b3b6cc8e",3,5,3,5,5,1,7,6,9,7,7,4,2,4,4,2,6,5,5,2,2,1,7,1,7,7,7,5,3,5,5,6,5,5,6,5,6,2,5,6,7,5,7,6,3,6,6,6,5,5,3,5,5,5,3,5,5,3,5,3,5,7,3,6,1,6,6,7,4,7,5,3,3,5,4,5,4,2,25,"He purposely killed that man. He had to know beating someone like that and kicking them in the face would do some serious damage. Not only is he a thief, he's a killer. ","Give him some time to think about what he did and maybe he can turn his life around while he's in there. ",54,1,1,3,4,"It was a very in depth study. I enjoyed it very much. Thank you",3,505,NA,NA,NA,5,5,3,7,3,3,2,3,4,2,5,3,5,3,3,3,2,4,2,-0.701097983997598,5,4,3,4.625,0.460415995132842,-0.120340994432378,7,3.33333333333333,4.8,7,7,7,4.33333333333333,4.66666666666667,5.5,2.5,3.66666666666667,6.33333333333333,4.5625,4.6,4.5,3.4,4.25,4.75,3.25,4.16666666666667,3,2.5,2.71428571428571,"Moderate"
