StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Prolific_ID,punishmore_1,punishmore_2,parsimony_1,parsimony_2,threestrikes_1,threestrikes_2,LWOP,deathpenalty,AttnCheck1,rates_1,rates_2,fear_1,fear_2,fear_3,AttnCheck2,dueprocess_1,dueprocess_2,dueprocess_3,uncertain_1,uncertain_2,uncertain_3,uncertain_4,hate_1,hate_2,hate_3,anger_1,anger_2,exclusion_1,exclusion_2,exclusion_3,degrad_1,degrad_2,degrad_3,suffer_1,suffer_2,prisonvi_1,prisonvi_2,harsh_1,harsh_2,harsh_3,revenge_1,revenge_2,revenge_3,rwa_1,rwa_2,rwa_3,rwa_4,rwa_5,sdo_1,sdo_2,sdo_3,sdo_4,sdo_5,sdo_6,sdo_7,sdo_8,venge_1,venge_2,venge_3,venge_4,venge_5,vprone_1,vprone_2,vprone_3,vprone_4,Raceresent_1,Raceresent_2,Raceresent_3,Raceresent_4,TV_1,TV_2,TV_3,TV_4,TV_5,TV_6,TV_7,TV_8,TV_9,Sentence_1,Sentence_OpenEnd1,Sentence_OpenEnd2,age_1,gender,race,education,politid,feedback
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Please enter your Prolific ID here:,The current level of punishment in the United States is too high.,The solution to crime is more punishment.,Criminal punishments should be as light as possible.,The state should not punish more than is absolutely necessary.,People convicted three times for a felony should be imprisoned for life.,People convicted three times for shoplifting should serve at least 25 years in prison.,Convicted murderers should never be allowed out of prison.,How much do you support or oppose the use of the death penalty to punish people convicted of first-degree murder?,"To make sure that the experiment is running correctly, please select the ""strongly agree"" option.",How serious is the problem of crime in the United States?,Do you feel that violent crime just keeps Rising?,How safe do you feel walking at night in the vicinity of your home?,How much do you fear that you will be a victim of a serious crime?,How much do you fear that someone will break into your home in the next 12 months?,What is 8+7 equal to?,The legal system’s loopholes and technicalities makes it too difficult to convict criminals for their crimes.,"No matter how abhorrent the crime is, every defendant deserves the protection of due process of law.",People charged with committing violent crimes should be convicted even if police investigators cut some corners.,Jailhouse informants can be trusted when they testify that a cell-mate had confessed to committing a crime.,"Generally, the police make an arrest only when they are sure who committed the crime.","When it is the suspect’s word against the police officer’s word, we should believe the police.","If police officers know that a defendant is guilty, it is okay for them to lie when testifying in court to help obtain a conviction.",I feel hatred towards criminals.,I am sympathetic towards criminals.,I feel that criminals are detestable human beings.,I feel anger towards criminals.,The crime problem makes me feel angry.,"By breaking society’s laws, criminals exclude themselves from membership in society.","Having chosen to break the law, criminals do not deserve to enjoy the benefits that society provides its members.",Punishment communicates to criminals that they have no place in society.,"Regardless of their wrongdoing, prisoners deserve to be treated with dignity and respect.",Punishment communicates to criminals that society has low regard for them.,Punishment should humiliate the criminal.,Infliction of suffering is a permissible goal of criminal punishment.,Punishment without suffering is not punishment.,I feel bad when a prisoner is assaulted in prison.,Sexual assault of prisoners is a serious societal problem.,The conditions in prisons should be extremely harsh.,Prisoners deserve decent living conditions.,Our prisons are too comfortable.,Society has the right to take revenge on criminal offenders.,Society should punish to get back at criminal offenders.,A father should not be prosecuted for killing the man who raped his 9-year old daughter.,"What our country needs most is discipline, with everyone following our leaders in unity.","God’s laws about abortion, pornography, and marriage must be strictly followed before it is too late.",There is nothing wrong with premarital sexual intercourse.,Our society needs tougher government and stricter laws.,"To preserve law and order, we should crack down harder on troublemakers.",An ideal society requires some groups to be on top and others to be on the bottom.,Some groups of people are simply inferior to other groups.,No one group should dominate in society.,Groups at the bottom of the social order are just as deserving as groups at the top.,Group equality should not be our primary goal.,It is unjust to try to make groups equal.,We should do what we can to equalize conditions for different social groups.,We should work to give all groups an equal chance to succeed.,It is not worth my time or effort to pay back someone who has wronged me.,It is important for me to get back at people who have hurt me.,There is nothing wrong in getting back at someone who has hurt you.,"I don’t just get mad, I get even.",I am not a vengeful person.,A person has the right to kill to defend their property.,Physical punishment is necessary for raising children.,There is nothing wrong in torturing terrorists to obtain information about the threat they may pose to society.,"Imagine that the United States is at war with a foreign country.



After months of heavy losses, the US ground invasion has ground to a halt, with experts estimating an additional 20,000 US military fatalities. One suggestion to end the war is to drop a nuclear weapon on the enemy’s capitol, which could kill up to 200,000 civilians.



To what extent do you agree with pursuing that course of action?",Generations of slavery and discrimination have created conditions that make it difficult for blacks to work their way out of the lower class.,It’s really a matter of some people not trying hard enough; if Blacks would only try harder they could be as well off as Whites.,"Irish, Italian, Jewish, and many other minorities overcame prejudice and worked their way up. Blacks should do the same without any special favors.","Over the past few years, Blacks have gotten less than they deserve.",How much do you like watching the following types of shows on TV? - Comedy,How much do you like watching the following types of shows on TV? - Swimming,How much do you like watching the following types of shows on TV? - Basketball,How much do you like watching the following types of shows on TV? - Boxing,"How much do you like watching the following types of shows on TV? - Soccer (MLS, NWSL)",How much do you like watching the following types of shows on TV? - Mixed Martial Arts (UFC),How much do you like watching the following types of shows on TV? - News,How much do you like watching the following types of shows on TV? - Hunting,"How much do you like watching the following types of shows on TV? - Professional Wrestling (WWE, WWF)","What sentence would you give Darryl Smith for killing Frankie Williams? 

I would sentence Darryl to this number of years in prison:



(for a life sentence, mark 50 years) - Years",Please explain why you recommended this sentence for Darryl.,What do you hope this sentence will accomplish?,What is your age? - Years,What is your gender?,What is your race/ethnicity?,How many years of education do you have?,Do you describe yourself as more liberal or more conservative?,"But before you submit your response, we would appreciate it if you were willing to share any comments or suggestions regarding this study."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID335_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID336""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID147""}","{""ImportId"":""QID148""}","{""ImportId"":""QID149""}","{""ImportId"":""QID337""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID60""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID89""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID36""}","{""ImportId"":""QID150""}","{""ImportId"":""QID97""}","{""ImportId"":""QID96""}","{""ImportId"":""QID95""}","{""ImportId"":""QID94""}","{""ImportId"":""QID200""}","{""ImportId"":""QID201""}","{""ImportId"":""QID202""}","{""ImportId"":""QID203""}","{""ImportId"":""QID204""}","{""ImportId"":""QID205""}","{""ImportId"":""QID206""}","{""ImportId"":""QID207""}","{""ImportId"":""QID236""}","{""ImportId"":""QID237""}","{""ImportId"":""QID238""}","{""ImportId"":""QID239""}","{""ImportId"":""QID240""}","{""ImportId"":""QID269""}","{""ImportId"":""QID270""}","{""ImportId"":""QID271""}","{""ImportId"":""QID272""}","{""ImportId"":""QID301""}","{""ImportId"":""QID302""}","{""ImportId"":""QID303""}","{""ImportId"":""QID304""}","{""ImportId"":""QID333_1""}","{""ImportId"":""QID333_2""}","{""ImportId"":""QID333_3""}","{""ImportId"":""QID333_4""}","{""ImportId"":""QID333_5""}","{""ImportId"":""QID333_6""}","{""ImportId"":""QID333_7""}","{""ImportId"":""QID333_8""}","{""ImportId"":""QID333_9""}","{""ImportId"":""QID142_1""}","{""ImportId"":""QID192_TEXT""}","{""ImportId"":""QID193_TEXT""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID40""}","{""ImportId"":""QID9""}","{""ImportId"":""QID4_TEXT""}"
2025-12-02 23:32:12,2025-12-02 23:40:55,0,172.59.104.222,100,522,1,2025-12-02 23:40:55,R_59oJsB5QgHY033K,,,,,29.9734,-90.0885,anonymous,EN,1,67e9e4a4cddd6331b90f280c,6,6,6,6,5,4,5,5,9,7,6,6,6,5,4,6,5,5,5,6,6,6,5,6,6,4,5,7,5,5,6,5,5,6,5,4,3,6,6,1,5,6,1,6,7,5,6,4,6,5,6,6,5,5,6,6,5,4,4,5,3,5,4,3,5,5,5,5,4,6,5,6,7,6,6,6,6,7,30,This was a violent robbery that escalated into a fatal attack,"accountability and rehabilitation ",47,2,1,5,6,the study was good
2025-12-02 23:35:45,2025-12-02 23:42:31,0,98.171.105.95,100,406,1,2025-12-02 23:42:31,R_5HNwntvu43Uc9qk,,,,,32.246,-110.9177,anonymous,EN,1,67a671202f8d2d468aaddec7,7,1,5,6,1,1,2,5,9,4,2,6,2,3,4,2,6,1,1,3,4,1,4,4,4,3,5,2,2,3,7,6,2,1,1,5,5,2,6,1,2,2,5,2,1,6,2,2,4,2,5,6,3,2,6,7,4,2,5,4,4,5,1,2,5,6,3,3,4,5,3,5,5,4,4,5,3,5,3,he deserves jailtime,rehabilitate and remind,34,1,1,3,4,
2025-12-02 23:32:37,2025-12-02 23:44:23,0,24.35.140.21,100,706,1,2025-12-02 23:44:24,R_3M2SAikyTMiTcKl,,,,,34.8504,-92.4089,anonymous,EN,1,5e29cc3230cf9d03580c34bf,3,3,1,5,5,3,4,5,9,5,6,6,2,1,4,1,7,3,5,2,3,1,4,3,4,4,6,5,6,2,5,2,1,5,6,3,5,3,5,5,4,6,3,3,1,7,3,4,1,1,7,7,1,1,7,7,6,2,3,2,5,3,1,1,1,7,1,1,7,6,3,5,4,2,5,5,1,4,50,"Darryl killed a completely innocent woman, and a stranger, for no reason at all, and in my opinion has forfeit any right to freedom or a normal life because of this.",Removal of a dangerous and deranged person from society where he cannot harm anyone else.,36,1,1,4,2,"everything was fairly simple and straightforward, and there were no technical issues at all"
2025-12-02 23:34:00,2025-12-02 23:44:55,0,71.38.73.13,100,654,1,2025-12-02 23:44:55,R_1pMQAjFlR2j4mAV,,,,,36.122,-115.086,anonymous,EN,1,6679dc943f855ba978447c25,1,4,1,2,6,3,6,7,9,6,6,6,4,2,4,7,5,4,2,5,6,1,6,1,5,7,6,4,6,5,3,6,6,4,6,2,5,6,4,6,4,5,4,1,4,5,1,5,4,5,4,5,7,6,4,4,7,2,4,2,4,1,4,5,1,3,7,7,2,6,4,2,1,1,1,4,1,1,50,"Darryl was an obvious criminal. Perhaps he only meant to beat up Frankie and not kill him, but Frankie is dead nonetheless. Darryl does not seem to have any redeeming human qualities. He should spend the rest of his life in prison so he cannot hurt anyone else in society.",I hope this sentence will keep Darryl away from civilized society and stop him from committing further crimes. It should also be a punishment for Darryl for killing Frankie.,72,2,1,3,5,"This was an interesting study. Although Darryl did not mean to commit murder, he did, and should be imprisoned for life. Society does not need people like Darryl preying on them."
2025-12-02 23:37:20,2025-12-02 23:45:55,0,73.75.72.170,100,514,1,2025-12-02 23:45:55,R_5y3hEPQsV16oibe,,,,,41.4553,-88.2617,anonymous,EN,1,663e3cebf22215cffd238d3e,3,2,2,4,4,3,6,3,9,4,5,5,3,3,4,4,7,3,4,5,4,1,3,3,4,4,3,6,6,5,4,6,4,3,5,4,4,4,5,4,3,4,4,3,1,7,3,4,3,2,7,7,4,3,6,5,3,4,5,4,3,5,1,3,2,6,2,2,5,7,5,4,3,7,2,5,1,1,35,"Darryl had a history of violence and should suffer in prison for his wrongdoings in society. Darryl purposeful killed his girlfriend, and should be punished harshly for that crime. ","I hope this sentence will make Darryl suffer with his thoughts about what he did. I hope he has to stay in prison for the remainder of his life due to severe crime he committed. ",30,2,1,4,2,
2025-12-02 23:41:58,2025-12-02 23:49:06,0,69.12.11.177,100,428,1,2025-12-02 23:49:06,R_3hgcoO6ygDZB6I9,,,,,36.5963,-94.7563,anonymous,EN,1,546e3261fdf99b2bc7ebcfea,2,5,2,7,7,5,7,7,9,7,7,5,4,5,4,5,5,7,5,7,7,3,7,1,7,7,7,7,7,6,3,6,7,7,7,1,3,7,3,7,5,7,6,6,5,7,6,6,7,7,3,3,7,7,1,3,7,1,1,1,7,5,5,7,5,3,5,5,3,7,2,3,5,2,5,5,3,2,50,"I think if you murder someone in the act of committing a crime, you should never get out of prison.",He won't have the chance to hurt anyone else.,47,2,1,3,4,
2025-12-02 23:40:39,2025-12-02 23:49:09,0,66.25.40.80,100,510,1,2025-12-02 23:49:09,R_3F4l2mwushPqRD0,,,,,32.9887,-95.94,anonymous,EN,1,62fbdda6e4b5a034b71296f8,1,5,1,1,7,5,7,6,9,5,5,5,4,1,4,7,5,2,2,6,5,1,7,1,7,7,7,7,7,7,4,7,4,6,6,4,7,5,4,4,6,7,7,6,4,4,7,7,7,7,1,1,7,7,1,1,2,6,6,6,2,7,4,6,7,1,7,7,1,7,4,4,7,3,7,6,6,4,50,"Darryl killed a woman he was trying to rob and she died so violently that the only acceptable punishment here would be the maximum. There were several aggravating circumstances like the robbery itself, the assault preceding the murder, and her actual horrific fall.",To keep Darryl off the street so he can't hurt anyone else and to send a message that this conduct is unacceptable.,32,1,1,2,7,"It was a reasonable length, no real complaints, decent layout, not too bubbly."
2025-12-02 23:35:48,2025-12-02 23:50:06,0,98.116.149.245,100,857,1,2025-12-02 23:50:06,R_6dH0QUorvQn9WRy,,,,,40.5978,-74.0001,anonymous,EN,1,5c670a430d80fd00014264f9,2,4,2,7,2,3,7,5,9,3,4,3,3,2,4,4,7,2,4,1,4,2,5,3,4,4,4,6,5,4,6,4,3,5,4,4,5,6,4,3,6,5,5,5,2,7,4,4,1,1,7,7,1,1,7,7,3,2,2,2,6,6,1,4,4,5,4,4,4,6,4,6,4,3,3,4,1,2,50,It would serve as a punishment for the crime,To discourage all behavior like this,40,1,3,4,4,
